date,revenue,cogs,opex
2023-01-01,42000.0,5040.0,23100.000000000004
2023-02-01,43260.0,5191.2,23793.000000000004
2023-03-01,44557.799999999996,5346.936,24506.79
2023-04-01,45894.534,5507.34408,25241.993700000003
2023-05-01,47271.37002000001,5672.564402400001,25999.253511000006
2023-06-01,48689.5111206,5842.741334472,26779.231116330004
2023-07-01,50150.19645421801,6018.023574506161,27582.608049819904
2023-08-01,51654.70234784455,6198.564281741345,28410.086291314503
2023-09-01,53204.34341827989,6384.521210193587,29262.388880053943
2023-10-01,54800.47372082828,6576.056846499394,30140.260546455556
2023-11-01,56444.487932453136,6773.338551894376,31044.468362849228
2023-12-01,58137.82257042673,6976.538708451208,31975.802413734706
2024-01-01,59881.95724753953,7185.834869704744,32935.07648614675
2024-02-01,61678.41596496572,7401.409915795886,33923.12878073115
2024-03-01,63528.7684439147,7623.452213269764,40940.822644153086
2024-04-01,65434.631497232134,7852.155779667856,35989.04732347768
2024-05-01,67397.6704421491,8087.720453057892,37068.718743182006
2024-06-01,69419.60055541358,8330.35206664963,38180.78030547747
2024-07-01,71502.18857207599,8580.262628649118,39326.2037146418
2024-08-01,73647.25422923827,8837.670507508592,40505.98982608105
2024-09-01,75856.67185611543,9102.80062273385,41721.169520863485
2024-10-01,78132.37201179889,9375.884641415865,42972.80460648939
2024-11-01,80476.34317215285,9657.16118065834,44261.988744684066
2024-12-01,82890.63346731744,9946.876016078093,45589.8484070246
